channel_id,video_id,video_title,video_url,views,timeScraped
11Alive,9gYCZ117LME,38 killed in Kazakhstan plane crash | Latest details,https://www.youtube.com/watch?v=9gYCZ117LME,9203,2024-12-28T04:00:39.856Z
@WRAL5,B5OKIEMmklM,Crash takes out stoplights Capital Blvd.,https://www.youtube.com/watch?v=B5OKIEMmklM,156,2024-12-28T03:00:42.582Z
@WRAL5,rk2dbCAODjY,Chase involving kidnapping suspect one of three crashes on Christmas in NC,https://www.youtube.com/watch?v=rk2dbCAODjY,292,2024-12-28T03:00:42.582Z
@ABC11WTVD,YA4bdwG1y1I,Fenton shooting suspect claims it was accidental,https://www.youtube.com/watch?v=YA4bdwG1y1I,141,2024-12-28T02:01:00.531Z
@News4JAX,JXcS3A5RFp0,Avoiding delays on one of the busiest travel days of the season,https://www.youtube.com/watch?v=JXcS3A5RFp0,202,2024-12-27T22:02:44.081Z
@WPLGLocal10,AtPGTHMRRb4,Motorcyclist airlifted following US 1 crash in southwest Miami-Dade,https://www.youtube.com/watch?v=AtPGTHMRRb4,1465,2024-12-27T21:04:20.370Z
@ABC13Houston,xTxyF58PxUo,Union Pacific to limit train traffic near Milby HS after student hit and killed,https://www.youtube.com/watch?v=xTxyF58PxUo,1373,2024-12-27T21:00:57.860Z
@ABC13Houston,t6Q16VBLX7M,New multi-agency effort aims to make Highway 99 more safe for drivers,https://www.youtube.com/watch?v=t6Q16VBLX7M,1192,2024-12-27T19:05:11.752Z
@6abcActionNews,UfFz-ugXlYQ,Dozens dead as passenger plane crashes in Kazakhstan,https://www.youtube.com/watch?v=UfFz-ugXlYQ,151601,2024-12-27T16:01:15.775Z
@WFRVLocal5,vyj1lDEgg0M,Airboat crashed and partially sunk in Lake Butte des Morts,https://www.youtube.com/watch?v=vyj1lDEgg0M,67,2024-12-27T12:03:54.981Z
11Alive,Du5h_nBUK_8,Krelim warns of speculation in Kazakhstan plane crash,https://www.youtube.com/watch?v=Du5h_nBUK_8,59773,2024-12-27T11:04:37.030Z
@WFRVLocal5,_JH8HYuVP2c,"Airboat crashes into Lake Butte des Morts, passengers safely make it to shore",https://www.youtube.com/watch?v=_JH8HYuVP2c,40,2024-12-27T00:05:20.305Z
@WFRVLocal5,JBNqN23AxN8,Oshkosh man arrested for alleged string of construction site burglaries,https://www.youtube.com/watch?v=JBNqN23AxN8,43,2024-12-27T00:05:20.305Z
11Alive,5G7k_86LdyY,"Dozens survive fiery, fatal plane crash",https://www.youtube.com/watch?v=5G7k_86LdyY,21689,2024-12-26T23:05:27.036Z
@13ONYOURSIDE,4o6YJzj4G4U,"Woman dead, multiple people hurt in Newaygo County crash",https://www.youtube.com/watch?v=4o6YJzj4G4U,3873,2024-12-26T23:02:45.477Z
@WFRVLocal5,FNE2Sij8Gak,Driver killed in Waupaca County crash has been identified,https://www.youtube.com/watch?v=FNE2Sij8Gak,40,2024-12-26T22:01:57.628Z
@fox5atlanta,yghF3jqATjw,Woman killed in house after cooking accident | FOX 5 News,https://www.youtube.com/watch?v=yghF3jqATjw,621,2024-12-26T22:01:18.704Z
@fox5atlanta,AFmxrLoV85U,Biden commutes death row sentences | FOX 5 News,https://www.youtube.com/watch?v=AFmxrLoV85U,412,2024-12-26T22:01:18.704Z
@WFRVLocal5,UHXEJ8rBcAw,Winnebago County airboat crash,https://www.youtube.com/watch?v=UHXEJ8rBcAw,86,2024-12-26T18:02:07.312Z
@wxyztvdetroit,_IUCUssWHyQ,Travelers hitting airways and roadways to get to holiday destinations,https://www.youtube.com/watch?v=_IUCUssWHyQ,198,2024-12-26T16:05:20.871Z
@wxyztvdetroit,A2-PgJq6KyY,"Drivers brave slippery roads for last-minute holiday travel, shopping",https://www.youtube.com/watch?v=A2-PgJq6KyY,471,2024-12-26T15:04:11.207Z
@6abcActionNews,tlwMYS1xkao,"Biden commutes death sentence for Philadelphia drug lord who killed 12 people, including children",https://www.youtube.com/watch?v=tlwMYS1xkao,37834,2024-12-26T13:04:45.715Z
@News4JAX,K_9U2PPDXC8,JSO memo to officers after accidental shooting during traffic stop highlights gun safety practices,https://www.youtube.com/watch?v=K_9U2PPDXC8,1686,2024-12-26T13:04:06.028Z
@News4JAX,YP1pVt6hcB4,Mother of 14-year-old driver involved in rollover crash seeks help for teen’s medical expenses,https://www.youtube.com/watch?v=YP1pVt6hcB4,788,2024-12-26T13:04:06.028Z
@ABC11WTVD,e-7sC7Bea74,"16-year-old in critical condition, 6 others injured after stolen car crashes during Roxboro chase",https://www.youtube.com/watch?v=e-7sC7Bea74,2537,2024-12-26T13:00:25.316Z
@WFRVLocal5,VNbN8WtRBT8,Three pronounced dead after two-vehicle crash in Sheboygan County,https://www.youtube.com/watch?v=VNbN8WtRBT8,265,2024-12-26T11:00:24.242Z
@WRAL5,e-7ksgmLg2M,"NCDOT trucks brining Triangle roads, freezing rain possible before 7 a.m. tomorrow",https://www.youtube.com/watch?v=e-7ksgmLg2M,235,2024-12-26T04:05:05.517Z
@WRAL5,gVwMlNg4j38,Fenton shooting suspect says gun went off by accident,https://www.youtube.com/watch?v=gVwMlNg4j38,23,2024-12-25T19:00:36.785Z
@WRAL5,Af-dvTy8kDA,NCDOT brines bridges and roads ahead of possible freezing rain,https://www.youtube.com/watch?v=Af-dvTy8kDA,21,2024-12-25T12:03:50.241Z
@WRAL5,ddkVftITC_4,"1 killed, several others hurt after fiery boat crash in Ft. Lauderdale",https://www.youtube.com/watch?v=ddkVftITC_4,478,2024-12-25T02:04:55.729Z
@WRAL5,2SbBWQ8WLCY,Mother and baby survive two drunk driver accidents in 9 months,https://www.youtube.com/watch?v=2SbBWQ8WLCY,114,2024-12-25T02:04:55.729Z
@WRAL5,RnA1GyYGhj8,Man with NC ties shot dead by Texas police after crashing pickup truck into mall,https://www.youtube.com/watch?v=RnA1GyYGhj8,175,2024-12-25T01:02:13.049Z
